Year,Artist,Artist (original),Name,Spotify,RAND
1992,RED HOT CHILI PEPPERS,RED HOT CHILI PEPPERS,Under The Bridge,http://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,0.432397843
1983,MICHAEL JACKSON,MICHAEL JACKSON,Beat It,http://open.spotify.com/track/2dzMbi6uW2EE4cgzxf8vcO,0.065918458
1991,PAUL DE LEEUW,PAUL DE LEEUW,Vlieg Met Me Mee,https://open.spotify.com/track/3D4r2i4F0fiy7iarMXMXe1,0.708141339
2003,SPRING,SPRING,Spring,http://open.spotify.com/track/5nqEVIj9bfIE3wquEjnfDY,0.981778082
1985,KATRINA and THE WAVES,KATRINA & THE WAVES,Walking On Sunshine,http://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0,0.04711262
2022,ROSA LINN,ROSA LINN,Snap,http://open.spotify.com/track/76OGwb5RA9h4FxQPT33ekc,0.903944596
2017,AJR,AJR,Weak,http://open.spotify.com/track/5DZwnLxHjWTZaz9jOpRhxb,0.93796716
2013,ELLIE GOULDING,ELLIE GOULDING,How Long Will I Love You,http://open.spotify.com/track/0ZPfDxZn5O0L84wvPSN2iG,0.195954465
2013,JAMES ARTHUR,JAMES ARTHUR,Impossible,http://open.spotify.com/track/5yVIlYEHZxQVLyInCdldoS,0.270491223
2022,GEORGE EZRA,GEORGE EZRA,Green Green Grass,http://open.spotify.com/track/3rk4aJ0vAj3cFUIQEeASkT,0.502522762
2014,CLEAN BANDIT & JESS GLYNNE,CLEAN BANDIT,Rather Be ,http://open.spotify.com/track/3s4U7OHV7gnj42VV72eSZ6,0.315995374
2014,MARK RONSON & BRUNO MARS,MARK RONSON,Uptown Funk,http://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,0.284973121
2004,MICHEL SARDOU,MICHEL SARDOU,Les lacs du Connemara,https://open.spotify.com/track/11opORqJ29JU1b3wGxVNzC?si=b6ce9b80254f4ff7,0.017999758
2014,VANCE JOY,VANCE JOY,Riptide,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm?si=69e70ee351f14103,0.274525904
1999,ROBBIE WILLIAMS,ROBBIE WILLIAMS,She's The One,http://open.spotify.com/track/4lO57zZGFcj7vSY4QhfVDq,0.168399818
2023,P!NK,P!NK,Trustfall,https://open.spotify.com/track/4FWbsd91QSvgr1dSWwW51e,0.384267248
2002,CLOUSEAU,CLOUSEAU,En Dans,http://open.spotify.com/track/0yqUysJdfdi7lPdFpsBRvh,0.116117588
2011,PITBULL and NE-YO,PITBULL,Give Me Everything,http://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W,0.28717291
2017,LUIS FONSI & DADDY YANKEE,LUIS FONSI,Despacito,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb?si=e9447f18a6e04d5e,0.799602571
2013,P!NK & NATE RUESS,P!NK,Just Give Me A Reason,http://open.spotify.com/track/1mKXFLRA179hdOWQBwUk9e,0.772057356
2017,ED SHEERAN,ED SHEERAN,Castle On The Hill,http://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,0.774917573
2010,P!NK,P!NK,Raise Your Glass,http://open.spotify.com/track/1gv4xPanImH17bKZ9rOveR,0.195511387
2004,HOOBASTANK,HOOBASTANK,The Reason,http://open.spotify.com/track/77loZpT5Y5PRP1S451P9Yz,0.082934149
2013,JUSTIN TIMBERLAKE,JUSTIN TIMBERLAKE,Mirrors,http://open.spotify.com/track/4rHZZAmHpZrA3iH5zx8frV,0.981438179
2008,KATY PERRY,KATY PERRY,Hot N Cold,http://open.spotify.com/track/1y4eb6hmAvsqlDOl3fx9kk,0.001000816
2017,HARRY STYLES,HARRY STYLES,Sign Of The Times,http://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV,0.968659107
1996,ALANIS MORISSETTE,ALANIS MORISSETTE,Ironic,http://open.spotify.com/track/1d6KS9GH06JAd19uiBy9IE,0.770532561
1992,RADIOS,THE RADIOS,She Goes Nana,http://open.spotify.com/track/73ckFKYD8ydiDRnazoGGDE,0.929586784
2004,ERIC PRYDZ,ERIC PRYDZ,Call On Me,http://open.spotify.com/track/1xNcBAoUw8Hz6LqK2jt4Ff,0.630239383
1953,THE CHAMPS,THE CHAMPS,Tequilla,https://open.spotify.com/track/5gJKsGij5oGt5H5RSFYXPa?si=0b1fbc7a87414f8d,0.702184058
2022,METEJOOR & HANNAH MAE,METEJOOR,Wat Wil Je Van Mij,https://open.spotify.com/track/09PxIJHtAlqOKV6aPci5B1?si=ebc8ba6686184ab6,0.781595262
1992,RADIOHEAD,RADIOHEAD,Creep,http://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,0.629543906
1977,FLEETWOOD MAC,FLEETWOOD MAC,Go Your Own Way,http://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,0.818063284
2013,MACKLEMORE & RYAN LEWIS,MACKLEMORE & RYAN LEWIS,Can't Hold Us,http://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,0.969145964
2017,DUA LIPA & CHRIS MARTIN,DUA LIPA,Homesick,http://open.spotify.com/track/5E5MqaS6eOsbaJibl3YeMZ,0.784968164
2014,PITBULL,PITBULL,Fireball,http://open.spotify.com/track/49eplIHvgCLY8HAgcaWrUb,0.416996279
1986,BON JOVI,BON JOVI,You Give Love A Bad Name,http://open.spotify.com/track/0rmGAIH9LNJewFw7nKzZnc,0.538164114
2010,RIHANNA,RIHANNA,Rude Boy,http://open.spotify.com/track/6WTfLaLQsrVzLwYigoGv3W,0.275135549
1984,ALPHAVILLE,ALPHAVILLE,Forever Young,http://open.spotify.com/track/4S1VYqwfkLit9mKVY3MXoo,0.3813197
2023,NOAH KAHAN,NOAH KAHAN,Stick Season,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv?si=4817c379e11642e5,0.586372804
1989,BANGLES,BANGLES,Eternal Flame,http://open.spotify.com/track/5MoDQWMDMaAGDEiWsJfeCi,0.249153084
2014,ED SHEERAN,ED SHEERAN,Thinking Out Loud,http://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,0.597464274
1989,TECHNOTRONIC,TECHNOTRONIC,Pump Up The Jam,http://open.spotify.com/track/21qnJAMtzC6S5SESuqQLEK,0.255472793
2016,ALVARO SOLER,ALVARO SOLER,Sofia,http://open.spotify.com/track/6wNBeXhrU5tr5hoRgQZmPx,0.692132248
2012,PASSENGER,PASSENGER,Let Her Go,http://open.spotify.com/track/1KxwZYyzWNyZSRyErj2ojT,0.83929768
2012,ED SHEERAN,ED SHEERAN,Lego House,http://open.spotify.com/track/53Pgsvu3qSYO2aXt5J2vcL,0.877909838
2013,TOM ODELL,TOM ODELL,Another Love,http://open.spotify.com/track/7otCGmgp9h4CsR2LhwB6gt,0.316402822
1995,CLOUSEAU,CLOUSEAU,Swentibold,http://open.spotify.com/track/6OPPUUgIjsPPbs64its9Bs,0.604270595
2023,CIAN DUCROT,CIAN DUCROT,I'll Be Waiting,https://open.spotify.com/track/2nRaAETFbe39JVCFSVDkcc?si=652d04a0957d4678,0.223619068
2004,LIMP BIZKIT,LIMP BIZKIT,Behind Blue Eyes,http://open.spotify.com/track/1MTQHCpraD4S8g5PAFKzoj,0.630869277
2013,STROMAE,STROMAE,Papaoutai,http://open.spotify.com/track/1QFw2xxyQtgKjlrMCEqsNj,0.065655303
1994,ELTON JOHN,ELTON JOHN,Can You Feel The Love Tonight,http://open.spotify.com/track/67HKtdqchK0rmODxsBeWT8,0.644796541
2022,PURPLE DISCO MACHINE,PURPLE DISCO MACHINE,In The Dark,https://open.spotify.com/track/52qTK7CEx1Vso4Evkx6ZCM,0.623178117
2023,DASHA,DASHA,Austin,https://open.spotify.com/track/6b81dy3WjbozXK6b7C1gu5,0.927214661
2011,SWEDISH HOUSE MAFIA,SWEDISH HOUSE MAFIA,Save The World,http://open.spotify.com/track/65hRZOQkVjmBdusz1N7aOv,0.637188042
2000,EMINEM,EMINEM,The Real Slim Shady,http://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,0.293693777
2013,PHARRELL WILLIAMS,PHARRELL WILLIAMS,Happy,http://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH,0.479673881
2012,BRUNO MARS,BRUNO MARS,Locked Out Of Heaven,http://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,0.82822048
2017,IMAGINE DRAGONS,IMAGINE DRAGONS,Whatever It Takes,http://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb,0.797049451
2004,ANOUK,ANOUK,Girl,http://open.spotify.com/track/5zhee6Apgg8QqeJObO4k1d,0.157424253
1979,VILLAGE PEOPLE,VILLAGE PEOPLE,Y.M.C.A.,http://open.spotify.com/track/4YOJFyjqh8eAcbKFfv88mV,0.594756446
1994,ELTON JOHN,ELTON JOHN,Circle Of Life,http://open.spotify.com/track/1X3KpJAP3KRLr77EqAXDmg,0.68501135
2008,ADELE,ADELE,Chasing Pavements,http://open.spotify.com/track/71WAtDcWVYMoCsblD2uQXx,0.588710331
1990,ROXETTE,ROXETTE,Listen To Your Heart,http://open.spotify.com/track/2W4HHauPXqsxTGgCMwGwaq,0.630022364
2015,JUSTIN BIEBER,JUSTIN BIEBER,Sorry,http://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,0.67561112
2019,THE WEEKND,THE WEEKND,Blinding Lights,http://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.492218105
1984,JERMAINE JACKSON & PIA ZADORA,JERMAINE JACKSON,When The Rain Begins To Fall,http://open.spotify.com/track/4BNgHaHriMcnpeR7qdkojU,0.836647417
1997,GALA,GALA,Freed From Desire,http://open.spotify.com/track/3u5N55tHf7hXATSQrjBh2q,0.555746225
2024,MR. BELT & WEZOL,MR. BELT & WEZOL,It's Not Right (But It's Ok),http://open.spotify.com/track/5OFVzqSeFxGpvDGyHvVeLj,0.66390053
2015,ARIANA GRANDE,ARIANA GRANDE,One Last Time,http://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd,0.42404035
1991,QUEEN,QUEEN,The Show Must Go On,http://open.spotify.com/track/3hU637WcAGM5ubSqeaTme5,0.305716259
1996,SPICE GIRLS,SPICE GIRLS,Wannabe,http://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT,0.104161592
1999,GOO GOO DOLLS,GOO GOO DOLLS,Iris,http://open.spotify.com/track/6vrUTGn5p8IrfTZ0J6sIVM,0.257261743
2004,THE KILLERS,THE KILLERS,Mr. Brightside,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B?si=4f2399fe44fc4605,0.399300533
2010,NATALIA and GABRIEL RIOS,NATALIA,Hallelujah,http://open.spotify.com/track/34RFWvKG8z6AiUP6zYvSRX,0.385963289
1998,JANET JACKSON,JANET JACKSON,Together Again,http://open.spotify.com/track/1GrikfH0jDejDvrxo84n4P,0.949493859
2013,IMAGINE DRAGONS,IMAGINE DRAGONS,Radioactive,http://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp,0.819055442
2005,BELLE PEREZ,BELLE PEREZ,Enamorada,https://open.spotify.com/track/2FldQhZaAuJs4csUpcskia?si=7f56bdf8d7c84870,0.966443298
1979,GLORIA GAYNOR,GLORIA GAYNOR,I Will Survive,http://open.spotify.com/track/7cv28LXcjAC3GsXbUvXKbX,0.025102666
1982,KREUNERS,KREUNERS,Layla,http://open.spotify.com/track/4Mp0Vw7hNEu8EdIeiBBzy0,0.263160374
1978,RAM JAM,RAM JAM,Black Betty,https://open.spotify.com/track/2ZOTtG7v1OrSNs6EINIGb4,0.427742071
1996,CELINE DION,CELINE DION,All By Myself,http://open.spotify.com/track/0gsl92EMIScPGV1AU35nuD,0.498725792
1992,GUNS 'N' ROSES,GUNS N' ROSES,November Rain,http://open.spotify.com/track/614dpc6m0q6YGFmGchFGx1,0.719322436
1980,URBANUS,URBANUS,Madammen Met Een Bontjas,https://open.spotify.com/track/1YTVrWOdUHG5IMfKqNDbX7?si=3301abbf66e840c7,0.45831782
2024,TEDDY SWIMS,TEDDY SWIMS,Bad Dreams,https://open.spotify.com/track/3BntzKsnLf2pc0dsvE3Zav,0.479707081
2008,THE SCRIPT,THE SCRIPT,The Man Who Can't Be Moved,http://open.spotify.com/track/3nqqDo8CcCLke3ZoTgiOKf,0.701399005
2024,ADAM PORT & STRYV,ADAM PORT & STRYV,Move,http://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4,0.653597649
2013,ONE DIRECTION,ONE DIRECTION,One Way Or Another (Teenage Kicks),http://open.spotify.com/track/48vlTTvosBO3rErgxYKxxR,0.363056416
2011,JENNIFER LOPEZ and PITBULL,JENNIFER LOPEZ,On The Floor,http://open.spotify.com/track/0Oe49j06Bjrxs8PltuVeaW,0.285407872
1989,GUNS N' ROSES,GUNS N' ROSES,Patience,http://open.spotify.com/track/1OEoNpiyqBghuEUaT6Je6U,0.45919146
1994,METALLICA,METALLICA ,One,http://open.spotify.com/track/0LAcM6I7ijW4VVW0aytl1t,0.669382333
2012,NICKI MINAJ,NICKI MINAJ,Starships,http://open.spotify.com/track/1oHNvJVbFkexQc0BpQp7Y4,0.242608822
2019,BILLIE EILISH,BILLIE EILISH,Bad Guy,http://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,0.714230341
2024,HUGEL & TOPIC,HUGEL,I Adore You,http://open.spotify.com/track/5nPbKG04fhLkIAjcPFaZq7,0.533464298
2022,METEJOOR,METEJOOR,Dit Is Wat Mijn Mama Zei,http://open.spotify.com/track/5QJoojtfYodIvWSfpeCcHh,0.687633664
1996,DEEP BLUE SOMETHING,DEEP BLUE SOMETHING,Breakfast At Tiffany's,http://open.spotify.com/track/1uzWOoJdADfstQuFtQFTUn,0.440108635
2021,MIMI WEBB,MIMI WEBB,Good Without,http://open.spotify.com/track/15OCqNPYoLziEAsbVnqRj5,0.052892024
1998,MADONNA,MADONNA,Frozen,http://open.spotify.com/track/2II03llydk4YnkBBvoYB3B,0.024444331
2019,LEWIS CAPALDI,LEWIS CAPALDI,Before You Go,http://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,0.112884721
2010,B.O.B & HAYLEY WILLIAMS,B.O.B,Airplanes,https://open.spotify.com/track/6lV2MSQmRIkycDScNtrBXO?si=25dd40716eb54e39,0.011711564
2004,LINKIN PARK and JAY-Z,LINKIN PARK,Numb/Encore,http://open.spotify.com/track/5sNESr6pQfIhL3krM8CtZn,0.032683283
2006,SHAKIRA and WYCLEF JEAN,SHAKIRA,Hips Don't Lie,http://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,0.255213774
2001,LIVE,LIVE,Overcome,http://open.spotify.com/track/6ebPgIJleWGjHK207y5bse,0.70852116
1975,ABBA,ABBA,Mamma Mia,http://open.spotify.com/track/6UIwfaQh9RP2anZ5OMQPfX,0.839208799
2015,ED SHEERAN,ED SHEERAN,Photograph,http://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,0.715346257
1985,WHAM!,WHAM!,I'm Your Man,http://open.spotify.com/track/0g5LlNF7C2uhPsT5Fg1rTU,0.56195122
2003,JUSTIN TIMBERLAKE,JUSTIN TIMBERLAKE,Rock Your Body,http://open.spotify.com/track/1AWQoqb9bSvzTjaLralEkT,0.270632046
1999,FOO FIGHTERS,FOO FIGHTERS,Learn To Fly,http://open.spotify.com/track/5OQsiBsky2k2kDKy2bX2eT,0.586441114
2022,ALVARO SOLER & TOPIC,ALVARO SOLER,Solo Para Ti,https://open.spotify.com/track/2uAgZ0PelSImQe3BME9CiT,0.734151476
2002,SHAGGY,SHAGGY,Hey Sexy Lady,http://open.spotify.com/track/4u8IPU322yG7mNrqv89GGL,0.278416244
1984,WHAM,WHAM!,Wake Me Up Before You Go-Go,http://open.spotify.com/track/0ikz6tENMONtK6qGkOrU3c,0.893337873
2011,JESSIE J and B.O.B.,JESSIE J,Price Tag,http://open.spotify.com/track/5mvKuE9Lf9ARVXVXA32kK9,0.260994784
2022,BERRE,BERRE,Better Off Alone,http://open.spotify.com/track/2jwsv7yOKwI4nd0UmrAnVq,0.287116261
2014,SHEPPARD,SHEPPARD,Geronimo,http://open.spotify.com/track/19cL3SOKpwnwoKkII7U3Wh,0.670642256
2004,NATALIA,NATALIA,I Want You Back,http://open.spotify.com/track/4pYWvvlp3RZQxKZX8DwUsW,0.672312632
2012,AVA MAX,AVA MAX,Sweet But Psycho,http://open.spotify.com/track/7DnAm9FOTWE3cUvso43HhI,0.816164063
2024,OSCAR AND THE WOLF,OSCAR AND THE WOLF,Angel Face,https://open.spotify.com/track/005k50cKNdWjOitdP6Y6jz,0.897729366
1992,METALLICA ,METALLICA ,Nothing Else Matters,http://open.spotify.com/track/3ZFwuJwUpIl0GeXsvF1ELf,0.371339364
1977,EAGLES,EAGLES,Hotel California,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,0.374358077
2019,SIA,SIA,Unstoppable,http://open.spotify.com/track/1yvMUkIOTeUNtNWlWRgANS,0.899250489
2007,LINKIN PARK,LINKIN PARK,What I've Done,http://open.spotify.com/track/18lR4BzEs7e3qzc0KVkTpU,0.347627314
2023,TATE MCRAE,TATE MCRAE,Greedy,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,0.133058533
1976,ELTON JOHN and KIKI DEE,ELTON JOHN,Don't Go Breaking My Heart,http://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5,0.41431
2002,EMINEM,EMINEM,Without Me,http://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,0.748913155
2014,TAYLOR SWIFT,TAYLOR SWIFT,Shake It Off,https://open.spotify.com/track/3pv7Q5v2dpdefwdWIvE7yH,0.961698676
2012,TAYLOR SWIFT,TAYLOR SWIFT,We Are Never Ever Getting Back Together,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs,0.259545916
2011,COLDPLAY,COLDPLAY,Paradise,http://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,0.2113114
1978,ABBA,ABBA,Take A Chance On Me,http://open.spotify.com/track/5BckPAYcKEJuYs1eV1BHHe,0.703922462
2021,GOLDBAND,GOLDBAND,Noodgeval,http://open.spotify.com/track/2LcmbuYX7tyR4DWy3b273L,0.750452651
2004,3 DOORS DOWN,3 DOORS DOWN,Here Without You,http://open.spotify.com/track/3NLrRZoMF0Lx6zTlYqeIo4,0.453905482
1985,BRYAN ADAMS,BRYAN ADAMS,Somebody,http://open.spotify.com/track/3KTxIOIZIE7UM6vwCX4Ofv,0.551645548
2018,CLEAN BANDIT & DEMI LOVATO,CLEAN BANDIT,Solo,http://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6,0.126398751
1995,2 UNLIMITED,2 UNLIMITED,Jump For Joy,http://open.spotify.com/track/1nE2xFHZ6BFSfQwBcFAepE,0.236655096
2011,ONE DIRECTION,ONE DIRECTION,What Makes You Beautiful,http://open.spotify.com/track/4cluDES4hQEUhmXj6TXkSo,0.90123835
2007,MIKA,MIKA,"Relax, Take It Easy",http://open.spotify.com/track/5msFXipAG1CsK92OakSAbS,0.114714457
2011,LADY GAGA,LADY GAGA,Born This Way,http://open.spotify.com/track/6r2BECwMgEoRb5yLfp0Hca,0.275087851
1991,JOHN TRAVOLTA and OLIVIA NEWTON-JOHN,JOHN TRAVOLTA,The Grease Megamix,https://open.spotify.com/track/7frXWJk53XCcJuAQuvQwDB,0.037583379
1996,EDDY WALLY,EDDY WALLY,Ik Spring Uit Een Vliegmachien,https://open.spotify.com/track/4I4fKk3Hvgr7T2aQHvICh3?si=59dcc2e176aa44e5,0.272821978
1979,AC/DC,AC/DC,Highway To Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,0.229037163
2004,EVANESCENCE,EVANESCENCE,My Immortal,http://open.spotify.com/track/4UzVcXufOhGUwF56HT7b8M,0.892791378
2024,ZERB & SOFIYA NZAU,ZERB & SOFIYA NZAU,Mwaki,https://open.spotify.com/track/3bYSuNFC8UqtpTRKBcDtZf,0.411309707
1977,ABBA,ABBA,"Knowing Me, Knowing You",http://open.spotify.com/track/46ou4l4zvrZMada0TgoVH9,0.338479463
1984,WHAM!,WHAM!,Freedom,http://open.spotify.com/track/3nPbOfOYn0Ks0KkYyPgrvb,0.499093908
2011,ADELE,ADELE,Someone Like You,http://open.spotify.com/track/1zwMYTA5nlNjZxYrvBB2pV,0.436637579
2021,ED SHEERAN & ELTON JOHN,ED SHEERAN,Merry Christmas,http://open.spotify.com/track/3bH2Eu9A9ymI4UnGHRmoXg,0.439912001
1989,MELISSA ETHERIDGE,MELISSA ETHERIDGE,Like The Way I Do,http://open.spotify.com/track/3Fe3L3N5pGaa0BBT4eVypZ,0.956032405
1976,ABBA,ABBA,"Money, Money, Money",http://open.spotify.com/track/29FNeqjOV2kPWGS55qhtGB,0.545304376
2015,WIZ KHALIFA & CHARLIE PUTH,WIZ KHALIFA,See You Again,http://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc,0.976552283
2002,NICKELBACK,NICKELBACK,How You Remind Me,http://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,0.852319057
1997,SPICE GIRLS,SPICE GIRLS,Spice Up Your Life,http://open.spotify.com/track/5qGwqO0lkbBXw4xNfzT7SF,0.293643884
2008,MILOW,MILOW,Ayo Technology,http://open.spotify.com/track/3FZl7oNIPiYVfE59uVmPDU,0.989697204
2014,LOST FREQUENCIES,LOST FREQUENCIES,Are You With Me,https://open.spotify.com/track/39QlSLkqq5shnpAXchT9sI,0.682033008
2006,RASCAL FLATTS,RASCAL FLATTS,Life is a Highway,https://open.spotify.com/track/2Fs18NaCDuluPG1DHGw1XG?si=128dda6196e64e14,0.223093226
1993,4 NON BLONDES,4 NON BLONDES,What's Up?,http://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm,0.108944192
2017,P!NK,P!NK,What About Us,http://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb,0.515670865
2003,X!NK,X!NK,De Vriendschapsband,http://open.spotify.com/track/7xRHm4nXhFBNGL6nXg2Rb6,0.343197593
1993,LENNY KRAVITZ,LENNY KRAVITZ,Are You Gonna Go My Way,http://open.spotify.com/track/45Ia1U4KtIjAPPU7Wv1Sea,0.210413198
1986,QUEEN,QUEEN,A Kind Of Magic,http://open.spotify.com/track/1LFK84nUerBbYfFd1LmnTm,0.468462188
1996,CELINE DION,CELINE DION,It's All Coming Back To Me Now,http://open.spotify.com/track/5EQzuYfTZt7B2LqlvTF49l,0.617422815
2010,BRUNO MARS,BRUNO MARS,Just The Way You Are,http://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,0.438188657
2021,ED SHEERAN,ED SHEERAN,Shivers,http://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,0.785787333
2011,FLO RIDA,FLO RIDA,Good Feeling,http://open.spotify.com/track/3NcO4jGK1Opb5ea0mYLpxb,0.16297817
1990,AC/DC,AC/DC,Thunderstruck,http://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,0.924302137
2018,5 SECONDS OF SUMMER,5 SECONDS OF SUMMER,Youngblood,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw,0.02791009
2005,NATASHA BEDINGFIELD,NATASHA BEDINGFIELD,Unwritten,http://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf,0.195391201
1966,THE ROLLING STONES,THE ROLLING STONES,"Paint It, Black",http://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,0.525191674
2022,BERRE,BERRE,Say My Name,http://open.spotify.com/track/5VOBsfdn1wlCwuuw7pKgU3,0.41845889
2011,AVICII,AVICII,Levels,http://open.spotify.com/track/5UqCQaDshqbIk3pkhy4Pjg,0.849039972
2016,HALSEY & THE CHAINSMOKERS,HALSEY,Closer,http://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.812212929
1971,ELTON JOHN,ELTON JOHN,Your Song,http://open.spotify.com/track/17VegeBoHvMlIByrdu64KR,0.962044734
1979,ABBA,ABBA,Does Your Mother Know ?,http://open.spotify.com/track/2HPB3px8MJZRMfu1L65Z41,0.059168249
2020,AVA MAX,AVA MAX,Kings & Queens,http://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI,0.084397653
2011,ADELE,ADELE,Set Fire To The Rain,http://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi,0.312773777
1987,RICK ASTLEY,RICK ASTLEY,Never Gonna Give You Up,http://open.spotify.com/track/4cOdK2wGLETKBW3PvgPWqT,0.029455858
2015,STAN VAN SAMANG,STAN VAN SAMANG,Een Ster,http://open.spotify.com/track/23lfdALTPtgNbJrzhRnfks,0.185419143
2000,NOVASTAR,NOVASTAR,The Best Is Yet To Come,http://open.spotify.com/track/2YSy87pZp2pWFdNK9kEY9u,0.60812235
1984,LIONEL RICHIE,LIONEL RICHIE,Hello,http://open.spotify.com/track/0mHyWYXmmCB9iQyK18m3FQ,0.543851313
1982,TOTO,TOTO,Rosanna,http://open.spotify.com/track/0yKvrZcQUqNrlTmdsnpmOl,0.512925588
1986,SIMPLE MINDS,SIMPLE MINDS,Sanctify Yourself,http://open.spotify.com/track/5YIh3K9eF6ymtagIIpprOU,0.557793873
1981,DOLLY PARTON,DOLLY PARTON,9 To 5,http://open.spotify.com/track/4w3tQBXhn5345eUXDGBWZG,0.161480467
2020,THE WEEKND,THE WEEKND,Save Your Tears,http://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,0.314150375
2016,RAG'N'BONE MAN,RAG'N'BONE MAN,Human,http://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,0.219047792
2010,SHAKIRA,SHAKIRA,Waka Waka (This Time For Africa),http://open.spotify.com/track/2Cd9iWfcOpGDHLz6tVA3G4,0.705713735
2021,K3,K3,Waterval,http://open.spotify.com/track/6Y3VGa2XlHkuJnSRCuyCIr,0.736248577
2005,MILK INC,MILK INC.,Go To Hell,http://open.spotify.com/track/2efiqxJiRPYBc7RiErWLd5,0.072415307
1987,MICHAEL JACKSON,MICHAEL JACKSON,Bad,http://open.spotify.com/track/5lWFrW5T3JtxVCLDb7etPu,0.75945094
2002,SUM 41,SUM 41,In Too Deep,http://open.spotify.com/track/68pN2UQYhwQgPy7VrCFKuV,0.619853359
1996,MARCO BORSATO,MARCO BORSATO,Ik Leef Niet Meer Voor Jou,http://open.spotify.com/track/45I37gu7jG5JsXyqYm4YDT,0.194142996
2010,EMINEM and RIHANNA,EMINEM,Love The Way You Lie,http://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,0.148066518
2002,EMINEM,EMINEM,Lose Yourself,http://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,0.827835939
2011,BRUNO MARS,BRUNO MARS,Grenade,http://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ,0.63454775
2022,HARRY STYLES,HARRY STYLES,As It Was,http://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,0.822202868
2018,IMAGINE DRAGONS,IMAGINE DRAGONS,Bad Liar,http://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,0.071640124
1996,K's CHOICE,K'S CHOICE,Not An Addict,http://open.spotify.com/track/38TozZBUSqO5HA4ya6OxZr,0.318960715
2023,BILLIE EILISH,BILLIE EILISH,What Was I Made For?,https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q?si=ab349a03879342e5,0.058874799
2005,GREEN DAY,GREEN DAY,Boulevard Of Broken Dreams,http://open.spotify.com/track/5GorCbAP4aL0EJ16frG2hd,0.661727977
1987,GEORGE MICHAEL and ARETHA FRANKLIN,GEORGE MICHAEL,I Knew You Were Waiting (For Me),http://open.spotify.com/track/2XgDgIsVUOt9Lov5G4Wruy,0.945257349
