Year,Artist,Artist (original),Name,Spotify,RAND
2018,LEWIS CAPALDI,LEWIS CAPALDI,Someone You Loved,http://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.39902302
1965,SIMON & GARFUNKEL,SIMON & GARFUNKEL,The Sound Of Silence,https://open.spotify.com/track/3YfS47QufnLDFA71FUsgCM?si=b8f5e01f35864420,0.007694108
2000,DAFT PUNK,DAFT PUNK,One More Time,http://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV,0.68658812
1971,NICOLE en HUGO,NICOLE EN HUGO,Goeiemorgen Morgen,http://open.spotify.com/track/3qbzmo1SLEKwYPE3LbVZq7,0.792188524
1966,EDDY WALLY,EDDY WALLY,Cherie,https://open.spotify.com/track/6xGrfC9dLTcDOm6Lu6b60a?si=e6e9e39148bb4bb8,0.763118171
2014,THE MAGICIAN & YEARS & YEARS,THE MAGICIAN,Sunlight,https://open.spotify.com/track/5r3aYGutXgsxSqB6W3RrzJ,0.043713929
2003,GENE THOMAS,GENE THOMAS,Voor Haar,http://open.spotify.com/track/6Eo1dr6WWUb8IVJvVOdhXN,0.77526588
2015,ELLIE GOULDING,ELLIE GOULDING,Love Me Like You Do,http://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu,0.158580934
2004,AVRIL LAVIGNE,AVRIL LAVIGNE,My Happy Ending,http://open.spotify.com/track/5uA4ZpS2DTLwbHpKHlsSqd,0.321132869
2013,MILEY CYRUS,MILEY CYRUS,Wrecking Ball,http://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE,0.806669833
1970,BEATLES,BEATLES,Let It Be,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48?si=03e4366d669a4b9b,0.060226864
2024,DUA LIPA,DUA LIPA,Illusion,https://open.spotify.com/track/59xD5osEFsaNt5PXfIKUnX,0.834450111
1996,GET READY!,GET READY!,Diep,https://open.spotify.com/track/5LZ8hCjKFfMXc0TfOHCNxL?si=91836e033213457f,0.243522994
2023,TEDDY SWIMS,TEDDY SWIMS,The Door,https://open.spotify.com/track/3dj4wgM3cPeuLwMNHDuBon?si=bc97112c62054324,0.525677485
1992,BON JOVI,BON JOVI,Keep The Faith,http://open.spotify.com/track/5EWtBjCLy21d1hY9zdaEe8,0.98340583
1997,THE VERVE,THE VERVE,Bitter Sweet Symphony,http://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,0.741144726
2015,ONE DIRECTION,ONE DIRECTION,Perfect,http://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk,0.966385645
1987,U2,U2,With Or Without You,http://open.spotify.com/track/6ADSaE87h8Y3lccZlBJdXH,0.619998233
2022,MÅNESKIN,MÅNESKIN,The Loneliest,https://open.spotify.com/track/1Ame8XTX6QHY0l0ahqUhgv,0.260803091
1994,MARCO BORSATO,MARCO BORSATO,Dromen Zijn Bedrog,http://open.spotify.com/track/2o4iWZOFE8kkl0tK66WADw,0.995115265
2024,POMMELIEN THIJS,POMMELIEN THIJS,Het Beste Moet Nog Komen,http://open.spotify.com/track/2DcgyrzipwNRBuAw9nzpDG,0.266915732
2011,BRUNO MARS,BRUNO MARS,The Lazy Song,http://open.spotify.com/track/386RUes7n1uM1yfzgeUuwp,0.723778661
2012,LOREEN,LOREEN,Euphoria,http://open.spotify.com/track/2knr7ikPt4l7bk92qS4ZXW,0.068028565
1993,ACE OF BASE,ACE OF BASE,All That She Wants,http://open.spotify.com/track/6kWJvPfC4DgUpRsXKNa9z9,0.52995665
1987,BELINDA CARLISLE,BELINDA CARLISLE,Heaven Is A Place On Earth,https://open.spotify.com/track/37Q5anxoGWYdRsyeXkkNoI?si=9745a03180d14c71,0.656695251
1999,FOO FIGHTERS,FOO FIGHTERS,Learn To Fly,http://open.spotify.com/track/5OQsiBsky2k2kDKy2bX2eT,0.762481822
